id,x,y,z,qx,qy,qz,qw
1334,-79.2295,249.824,-5.45494,-0.0361035,-0.00429203,0.15396,0.987408
1335,-74.9473,250.346,-5.3968,-0.0356287,-0.0112212,-0.0293167,0.998872
1336,-70.6924,249.299,-5.2141,-0.0279302,-0.0008706,-0.186399,0.982077
1337,-67.1844,247.393,-5.13337,-0.0187744,-0.00693454,-0.267168,0.963442
1338,-63.638,245.042,-5.04223,-0.0172174,-0.011647,-0.281963,0.9592
1339,-59.9819,242.556,-4.90229,-0.0146852,-0.00591307,-0.283746,0.958769
1340,-56.3955,240.118,-4.77772,-0.0156007,-0.0108448,-0.281869,0.959265
1341,-52.6821,237.635,-4.59746,-0.0170255,-0.0128696,-0.279342,0.959954
1342,-49.0667,235.256,-4.43501,-0.0210187,-0.0139305,-0.275113,0.961081
1343,-45.4466,232.911,-4.27406,-0.0203323,-0.0131806,-0.270652,0.962372
1344,-41.7556,230.578,-4.11563,-0.0201797,-0.00512422,-0.265036,0.964014
1345,-38.0841,228.302,-3.99859,-0.0163771,-0.00300892,-0.258027,0.965994
1346,-34.4602,226.142,-3.90741,-0.0166326,-0.00164199,-0.250563,0.967956
1347,-30.9468,224.119,-3.84447,-0.0175049,-0.00703763,-0.246481,0.968964
1348,-27.157,221.918,-3.72838,-0.0175765,-0.00763261,-0.262215,0.964819
1349,-23.6919,219.609,-3.6073,-0.0223644,-0.00821319,-0.306304,0.951635
1350,-20.543,216.896,-3.44549,-0.0214307,0.00149154,-0.388931,0.921016
1351,-18.1026,213.513,-3.36249,-0.0195778,0.00291845,-0.516707,0.855934
1352,-16.8609,209.616,-3.25588,-0.0180767,-0.00771068,-0.646251,0.762872
1353,-16.9139,205.46,-3.08806,-0.0158553,-0.0106994,-0.759685,0.650009
1354,-18.2719,201.337,-2.93576,-0.00914271,-0.0142361,-0.836639,0.547493
1355,-20.4376,197.512,-2.79606,0.00552603,0.0162938,0.869757,-0.493179
1356,-22.5972,194.123,-2.68032,0.00838844,0.0164319,0.871165,-0.490643
1357,-24.7303,190.7,-2.53893,0.0104182,0.0125594,0.868547,-0.495338
1358,-27.0047,186.952,-2.38753,-0.00638936,-0.00705793,-0.865375,0.501034
1359,-29.0667,183.5,-2.30786,-0.00434254,-0.00587813,-0.861871,0.507072
1360,-31.2418,179.684,-2.22355,-0.00523748,-0.00588007,-0.857598,0.514261
1361,-33.3646,175.906,-2.13266,-0.00697345,-0.00334763,-0.863922,0.503566
1362,-35.5543,172.589,-2.04591,0.008746,0.00645855,0.894056,-0.447824
1363,-38.5006,169.596,-1.97619,0.00254356,0.00493388,0.948956,-0.31536
1364,-42.3909,167.806,-1.93399,0.00262544,0.00278355,0.993839,-0.110766
1365,-46.3518,167.725,-1.90772,-0.00221288,0.00647378,0.99668,0.0811293
1366,-50.1492,169.039,-1.91777,-0.0179929,0.0140619,0.974767,0.222054
1367,-53.7662,171.187,-2.15853,-0.0315176,0.0176501,0.962126,0.270199
1368,-57.1021,173.337,-2.42838,-0.0321207,0.0179928,0.960997,0.274097
1369,-60.4637,175.54,-2.68793,-0.0357871,0.0163803,0.960301,0.276174
1370,-64.0541,177.909,-3.00726,-0.0358505,0.0182514,0.959977,0.277174
1371,-67.4196,180.129,-3.30531,-0.0351745,0.0176379,0.960148,0.276707
1372,-70.8024,182.359,-3.59939,-0.0372199,0.0177965,0.960581,0.274923
1373,-74.3993,184.717,-3.92849,-0.0369726,0.0192983,0.960797,0.2741
1374,-77.8818,186.995,-4.23802,-0.0399772,0.0191641,0.960751,0.273845
1375,-81.5733,189.393,-4.58443,-0.0412436,0.0185257,0.960535,0.274462
1376,-85.0948,191.694,-4.92862,-0.0395388,0.0193663,0.960747,0.273911
1377,-88.4363,193.855,-5.24608,-0.0396875,0.0179288,0.961278,0.272119
1378,-91.9859,196.127,-5.58457,-0.0408971,0.01831,0.961658,0.270566
